study,cohort,index,w0_ba,w05_ba,w03_ba,w07_ba,E_mean_ba,E_vote_ba,w0_f1,w05_f1,w03_f1,w07_f1,E_mean_f1,E_vote_f1
seed,PD-252,21,0.7334245176350439,0.7595260239997083,0.7494273625852573,0.7509674654411497,0.7548327679906628,0.7574643469380311,0.7325960841277827,0.7722296712473353,0.7565350117718538,0.7698221448221447,0.7648429353097701,0.7691768927329725
seed,PD-252,22,0.7356284422073897,0.7332476200897254,0.7386046978152241,0.7174955319692162,0.7305449173870227,0.7305449173870227,0.7353494630161297,0.7473283923109643,0.7438425478278137,0.7382989491950257,0.742994434887762,0.742994434887762
seed,PD-252,23,0.7261480103585367,0.7392940511361565,0.7318980924244082,0.7313053944632892,0.7289701644964803,0.7262674617937777,0.7292901064518172,0.7581216247520596,0.7438793110722937,0.7555529952154425,0.7459162710611986,0.7415823136379963
partition,UCI-489,0,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625,0.862156862745098,0.862156862745098,0.862156862745098,0.8617600373482727,0.862156862745098,0.862156862745098
partition,UCI-489,1,0.8375,0.875,0.8375,0.8625,0.8625,0.8625,0.8366619981325863,0.8746078431372549,0.8366619981325863,0.862156862745098,0.862156862745098,0.862156862745098
partition,UCI-489,2,0.8625,0.8625,0.8625,0.875,0.8625,0.8625,0.8619561157796453,0.8619561157796453,0.8619561157796453,0.8743090569561158,0.8619561157796453,0.8619561157796453
partition,UCI-489,3,0.8375,0.85,0.85,0.8625,0.85,0.85,0.8361624649859944,0.8488095238095237,0.8488095238095237,0.8619561157796453,0.8488095238095237,0.8488095238095237
partition,UCI-489,4,0.85,0.8375,0.8375,0.85,0.8375,0.8375,0.8488095238095237,0.8362605042016806,0.8362605042016806,0.8482904659839644,0.8362605042016806,0.8362605042016806
partition,UCI-489,5,0.8625,0.85,0.85,0.85,0.85,0.85,0.8612605042016807,0.8483146591970121,0.8483146591970121,0.8483146591970121,0.8483146591970121,0.8483146591970121
partition,UCI-489,6,0.825,0.825,0.825,0.825,0.825,0.825,0.82025125029769,0.82025125029769,0.82025125029769,0.82025125029769,0.82025125029769,0.82025125029769
partition,UCI-489,7,0.85,0.875,0.8625,0.875,0.875,0.875,0.8490102707749767,0.8739122315592903,0.8613632119514472,0.8739122315592903,0.8739122315592903,0.8739122315592903
partition,UCI-489,8,0.85,0.8625,0.85,0.8625,0.85,0.85,0.849407096171802,0.8620541549953316,0.849407096171802,0.8620541549953316,0.849407096171802,0.849407096171802
partition,UCI-489,9,0.8375,0.85,0.8375,0.8625,0.8375,0.8375,0.8347470486170178,0.8478936405871391,0.8347470486170178,0.8613632119514472,0.8347470486170178,0.8347470486170178
partition,UCI-489,10,0.8625,0.85,0.8375,0.8625,0.85,0.85,0.8613632119514472,0.8490102707749767,0.8366573295985061,0.862156862745098,0.8490102707749767,0.8490102707749767
partition,UCI-489,11,0.825,0.8375,0.825,0.8625,0.825,0.825,0.819359560288353,0.8316097937150569,0.819359560288353,0.8589245360762388,0.819359560288353,0.819359560288353
partition,UCI-489,12,0.8375,0.8375,0.8375,0.85,0.85,0.85,0.8367600373482726,0.8369561157796452,0.8366619981325863,0.8494070961718021,0.8494070961718021,0.8494070961718021
partition,UCI-489,13,0.85,0.85,0.85,0.875,0.85,0.85,0.8477909328373725,0.8477909328373725,0.8477909328373725,0.8738095238095237,0.8477909328373725,0.8477909328373725
partition,UCI-489,14,0.8625,0.85,0.85,0.85,0.85,0.85,0.8620541549953314,0.8496031746031747,0.8496031746031747,0.8496031746031747,0.8496031746031747,0.8496031746031747
partition,UCI-489,15,0.85,0.8625,0.85,0.8625,0.8625,0.8625,0.8482904659839644,0.8609375248074939,0.8482904659839644,0.8609375248074939,0.8609375248074939,0.8609375248074939
partition,UCI-489,16,0.8625,0.8625,0.8625,0.875,0.8625,0.8625,0.8620541549953314,0.8620541549953314,0.8620541549953314,0.8749019607843138,0.8620541549953314,0.8620541549953314
partition,UCI-489,17,0.825,0.8375,0.8375,0.8375,0.825,0.825,0.8232166199813259,0.837156862745098,0.8363632119514472,0.8362605042016806,0.8240102707749767,0.8240102707749767
partition,UCI-489,18,0.85,0.85,0.8625,0.8625,0.8375,0.85,0.8482166199813259,0.8491129785247432,0.8613632119514472,0.8619607843137255,0.8359663865546219,0.8491129785247432
partition,UCI-489,19,0.8625,0.8625,0.85,0.85,0.8625,0.85,0.8601438740138431,0.8609375248074939,0.8475948544059999,0.8482904659839644,0.8607414463761213,0.8475948544059999
partition,PD-252,0,0.7022276324907903,0.7365913484334536,0.7208620563883723,0.7155761024182079,0.7261963380384433,0.7261963380384433,0.70756368797747,0.7528794799868826,0.734523514172637,0.7356545996041076,0.7422077246989527,0.7422077246989527
partition,PD-252,1,0.6990152095415254,0.7149469307364045,0.7096126490863333,0.7069582740635373,0.7199365357260094,0.7199365357260094,0.6987223263929037,0.7212055694133852,0.7145068492419349,0.716431854125861,0.72414312699347,0.72414312699347
partition,PD-252,2,0.7269987598934968,0.7275458657037605,0.7375961994383047,0.7310920231972864,0.724914286756392,0.724914286756392,0.7360365774576302,0.7464265926603837,0.7520994683174098,0.7550684618404513,0.7420382649387227,0.7420382649387227
partition,PD-252,3,0.7124092716197978,0.7105983513878251,0.6999297880876828,0.7033218441113178,0.7105983513878251,0.7105983513878251,0.7175821338082728,0.7247852654637691,0.7088651352507325,0.7201373988330511,0.7247852654637691,0.7247852654637691
partition,PD-252,4,0.6859995623153518,0.7179341284604442,0.7180280482912063,0.720636831163147,0.7236358828464091,0.7236358828464091,0.6819815137555383,0.7215396253919591,0.7176468512841511,0.7258489758751904,0.725670625193845,0.725670625193845
partition,PD-252,5,0.7342670605828501,0.7217164532954007,0.7294087609877083,0.7320403399350768,0.7167268483057956,0.7167268483057956,0.7396619714209782,0.7295062532473073,0.735437764407217,0.7433066304485358,0.726170401335506,0.726170401335506
partition,PD-252,6,0.7280902359849728,0.7368165736586789,0.7391034759455812,0.7346609767662399,0.7445088813509866,0.7445088813509866,0.7256736460134292,0.7479498735581637,0.746049626279619,0.7539857427750594,0.7550726805757075,0.7550726805757075
partition,PD-252,7,0.7519878177772914,0.7422821607032133,0.7445690629901157,0.7322318269686691,0.7368767552978079,0.7368767552978079,0.7622945385547703,0.7595143250423064,0.7601836057845104,0.7548651721897336,0.7514911920191734,0.7514911920191734
partition,PD-252,8,0.7255069847175111,0.7157302038880987,0.7130986249407302,0.7263276434329066,0.7157302038880987,0.7157302038880987,0.7309636544664642,0.7305108291302497,0.7274914116063494,0.7449866008754287,0.7317035680136278,0.7317035680136278
partition,PD-252,9,0.7373864755443703,0.7558184702921545,0.7504130648867491,0.7394253565306197,0.7531157675894518,0.7531157675894518,0.7433693096664165,0.7703498588456393,0.7620776402443068,0.7632123314829289,0.7661031505989311,0.7661031505989311
