study,cohort,index,w,ba,f1
seed,PD-252,11,0.5,0.7333187438450597,0.7482122790341466
seed,PD-252,11,0.6,0.7258288653025495,0.7463062153546275
seed,PD-252,11,0.7,0.720542911332385,0.7480266007705032
seed,PD-252,11,0.8,0.7232456140350878,0.7525425201987033
seed,PD-252,11,0.9,0.7078609986504724,0.7342420508059391
seed,PD-252,11,1.0,0.6278677462887989,0.6418912923415931
seed,PD-252,12,0.0,0.7331281686544845,0.7386075358031832
seed,PD-252,12,0.1,0.7280674399095453,0.7343964740980837
seed,PD-252,12,0.2,0.7230067111646059,0.7308995933391431
seed,PD-252,12,0.3,0.715089178247073,0.7277072892803056
seed,PD-252,12,0.4,0.7197824342561183,0.7329617273722964
seed,PD-252,12,0.5,0.7224851369588212,0.7373557985471895
seed,PD-252,12,0.6,0.7141518036254878,0.728380814791504
seed,PD-252,12,0.7,0.7118649013385856,0.7301191470781283
seed,PD-252,12,0.8,0.7068752963489806,0.7284388704371587
seed,PD-252,12,0.9,0.7021592442645074,0.7271349464692483
seed,PD-252,12,1.0,0.6298582995951417,0.6390274108657475
seed,PD-252,13,0.0,0.7249489367910422,0.7261293054771316
seed,PD-252,13,0.1,0.7276516394937449,0.7298438811095155
seed,PD-252,13,0.2,0.7303543421964476,0.7336780630258891
seed,PD-252,13,0.3,0.7303543421964476,0.7336780630258891
seed,PD-252,13,0.4,0.7383913265492212,0.7457603233742136
seed,PD-252,13,0.5,0.7277710909289856,0.7382925185251412
seed,PD-252,13,0.6,0.7170797315534159,0.7312368332444766
seed,PD-252,13,0.7,0.7301774446511289,0.745582666530155
seed,PD-252,13,0.8,0.7125059269796112,0.7326770120875812
seed,PD-252,13,0.9,0.7104925775978408,0.7364060918122807
seed,PD-252,13,1.0,0.6169028340080971,0.6229685696077254
seed,PD-252,14,0.0,0.738698617645986,0.7353008300376722
seed,PD-252,14,0.1,0.7492960571907942,0.7506429897342664
seed,PD-252,14,0.2,0.7519276361381625,0.7544385818691541
seed,PD-252,14,0.3,0.7651566546303388,0.7749069301980069
seed,PD-252,14,0.4,0.7518337163074006,0.7641763602120619
seed,PD-252,14,0.5,0.7598707006601744,0.7773297879723986
seed,PD-252,14,0.6,0.7438450596345334,0.7624712288100419
seed,PD-252,14,0.7,0.7201982346719189,0.7409038800705467
seed,PD-252,14,0.8,0.7024555932450669,0.7253533096454624
seed,PD-252,14,0.9,0.7098515519568152,0.7358496646105819
seed,PD-252,14,1.0,0.6228070175438596,0.6284810012112237
seed,PD-252,15,0.0,0.7275914578546157,0.7260133353521961
seed,PD-252,15,0.1,0.7225307291096763,0.7225489120484772
seed,PD-252,15,0.2,0.7381888973994236,0.7402730624667926
seed,PD-252,15,0.3,0.7435231790494948,0.7478825922370269
seed,PD-252,15,0.4,0.7542628661049714,0.7644477876261562
seed,PD-252,15,0.5,0.7486322354743408,0.7611522437489711
seed,PD-252,15,0.6,0.7352381733960682,0.7486907299643055
seed,PD-252,15,0.7,0.7245468140204981,0.7424032046152564
seed,PD-252,15,0.8,0.712280701754386,0.7398014590997046
seed,PD-252,15,0.9,0.683502024291498,0.7072143698148434
seed,PD-252,15,1.0,0.6272267206477732,0.6364606330997888
seed,PD-252,16,0.0,0.7438906517853886,0.743053391053391
seed,PD-252,16,0.1,0.7438906517853886,0.743053391053391
seed,PD-252,16,0.2,0.7414615019878178,0.7430994234807345
seed,PD-252,16,0.3,0.7494984863405916,0.755907689204332
seed,PD-252,16,0.4,0.7361755480176532,0.7458171314946261
seed,PD-252,16,0.5,0.7415098296677243,0.7534842934842936
seed,PD-252,16,0.6,0.7251878396615239,0.7425309780267586
seed,PD-252,16,0.7,0.733295947769632,0.7560864661654134
seed,PD-252,16,0.8,0.7309379217273955,0.7561711697944047
seed,PD-252,16,0.9,0.699527665317139,0.7234106402203379
seed,PD-252,16,1.0,0.6195344129554655,0.628854831089062
seed,PD-252,17,0.0,0.7331509647299121,0.7297180915672499
seed,PD-252,17,0.1,0.7281613597403072,0.7260337801412977
seed,PD-252,17,0.2,0.7285060364007732,0.730388145214232
seed,PD-252,17,0.3,0.736543020753547,0.742087803317399
seed,PD-252,17,0.4,0.7308412663675822,0.7384919498954586
seed,PD-252,17,0.5,0.7361755480176533,0.7462940003513643
seed,PD-252,17,0.6,0.7435715067294015,0.7569411820438715
seed,PD-252,17,0.7,0.7406435788014736,0.7580585635513172
seed,PD-252,17,0.8,0.7332248240142978,0.7572127066921188
seed,PD-252,17,0.9,0.7078609986504724,0.7355991907821176
seed,PD-252,17,1.0,0.6278677462887989,0.6330311459673894
seed,PD-252,18,0.0,0.7146961739067003,0.7144847094658907
