cohort,fold,method,ba,f1
UCI-489,5,perm kernel no-aug,0.75,0.746031746031746
UCI-489,5,A3+perm no-aug,0.8125,0.8117647058823529
UCI-489,5,rel-weighted RBF rho=1 eta=0,0.75,0.746031746031746
UCI-489,5,rel-weighted RBF rho=0 eta=1,0.75,0.746031746031746
UCI-489,5,rel-weighted RBF rho=1 eta=1,0.75,0.746031746031746
UCI-489,5,rel-weighted RBF rho=0.5 eta=0.5,0.75,0.746031746031746
UCI-489,5,PLS4 + LDA,0.6875,0.6862745098039216
UCI-489,5,PLS8 + LDA,0.6875,0.6862745098039216
UCI-489,5,PLS16 + LDA,0.6875,0.6862745098039216
UCI-489,5,RBF no-aug [BA-thr],0.8125,0.8117647058823529
UCI-489,5,A3 no-aug floor=0.25 [BA-thr],0.875,0.875
PD-252,1,RBF no-aug,0.715587044534413,0.7046332046332047
PD-252,1,A3 no-aug floor=0.00,0.728744939271255,0.722962962962963
PD-252,1,A3 no-aug floor=0.25,0.7419028340080972,0.7419028340080972
PD-252,1,A3 no-aug floor=0.50,0.715587044534413,0.7046332046332047
PD-252,1,perm kernel no-aug,0.6265182186234818,0.6351128233351679
PD-252,1,A3+perm no-aug,0.728744939271255,0.722962962962963
PD-252,1,rel-weighted RBF rho=1 eta=0,0.638663967611336,0.6386639676113359
PD-252,1,rel-weighted RBF rho=0 eta=1,0.715587044534413,0.7046332046332047
PD-252,1,rel-weighted RBF rho=1 eta=1,0.715587044534413,0.7046332046332047
PD-252,1,rel-weighted RBF rho=0.5 eta=0.5,0.6771255060728745,0.6725925925925926
PD-252,1,PLS4 + LDA,0.7682186234817814,0.7820512820512822
PD-252,1,PLS8 + LDA,0.7813765182186234,0.8035222894881673
PD-252,1,PLS16 + LDA,0.7803643724696356,0.7733333333333333
PD-252,1,RBF subagging16,0.6508097165991903,0.6386395843174304
PD-252,1,A3 subagging16,0.6497975708502024,0.6192358366271411
PD-252,1,RBF no-aug [BA-thr],0.7277327935222673,0.6987732848705135
