cohort,prep,fold,method,ba,f1
PD-252,quantile,4,paper fused w=0.5 [bag8],0.9074844074844075,0.878581835842642
PD-252,quantile,4,RBF (mean+std) [BA-thr],0.83991683991684,0.7771836007130125
PD-252,quantile,4,A3 families+G+MMD [BA-thr],0.8243243243243243,0.7267759562841529
PD-252,quantile,4,A3 + record stack [BA-thr],0.8534303534303534,0.7964721845318861
PD-252,quantile,5,RBF (mean+std),0.6881496881496881,0.6881496881496881
PD-252,quantile,5,paper fused w=0.5,0.7016632016632016,0.7066666666666667
PD-252,quantile,5,record-level -> mean,0.7515592515592515,0.7328800388538126
PD-252,quantile,5,A1 families,0.8056133056133057,0.8133333333333332
PD-252,quantile,5,A2 families+G,0.8056133056133057,0.8133333333333332
PD-252,quantile,5,A3 families+G+MMD,0.8056133056133057,0.8133333333333332
PD-252,quantile,5,A4 families+G+MMD+E,0.8056133056133057,0.8133333333333332
PD-252,quantile,5,A3 + record stack,0.7785862785862786,0.7716894977168949
PD-252,quantile,5,A2 + record stack,0.7785862785862786,0.7716894977168949
PD-252,quantile,5,A3 families+G+MMD [bag8],0.7650727650727651,0.751984126984127
PD-252,quantile,5,A3 + record stack [bag8],0.7785862785862786,0.7716894977168949
PD-252,quantile,5,paper fused w=0.5 [bag8],0.7016632016632016,0.7066666666666667
PD-252,quantile,5,RBF (mean+std) [BA-thr],0.6860706860706861,0.6666666666666667
PD-252,quantile,5,A3 families+G+MMD [BA-thr],0.7920997920997921,0.7920997920997921
PD-252,quantile,5,A3 + record stack [BA-thr],0.7785862785862786,0.7716894977168949
