cohort,partition_seed,weight,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
PD-252,0,1.0,Fused_Grassmann_GSMOTE,0.7189426268373637,0.02165254525715219,0.7266865833515384,0.017053368674887753
PD-252,0,1.0,Adaptive_Subspace_Fusion,0.6649697268118321,0.01506626288601417,0.6547239081268932,0.02290194705921935
PD-252,1,0.0,Adaptive_Subspace_Fusion,0.7691833533938798,0.04274656629558582,0.7651791331791331,0.04410802714081866
PD-252,1,0.0,Fused_Grassmann_GSMOTE,0.7373308531203268,0.04327128922233196,0.7091554722385189,0.03469510499437958
PD-252,1,1.0,Fused_Grassmann_GSMOTE,0.7073257467994309,0.04127252335289693,0.7185101346504854,0.041616546854094334
PD-252,1,1.0,Adaptive_Subspace_Fusion,0.6180927891454208,0.03929239693773894,0.6130521262673161,0.03737973939511674
PD-252,2,0.0,Adaptive_Subspace_Fusion,0.8123864755443704,0.03314795385086781,0.8125055025055026,0.029216785987123062
PD-252,2,0.0,Fused_Grassmann_GSMOTE,0.765827771090929,0.0323834496387475,0.7645899190109716,0.03231430837238172
PD-252,1,0.5,Adaptive_Subspace_Fusion,0.7672411277674436,0.03635842218697993,0.7701125251971934,0.03529414569021698
PD-252,1,0.5,Fused_Grassmann_GSMOTE,0.7382828172301857,0.04763585138178138,0.7274909774268845,0.042440153527927335
PD-252,2,0.5,Adaptive_Subspace_Fusion,0.8117454499033446,0.03712294441261168,0.8099941409872917,0.031106490200739797
PD-252,2,0.5,Fused_Grassmann_GSMOTE,0.7687329029434293,0.02713381925140881,0.7741827387811526,0.027036778366395273
PD-252,2,1.0,Fused_Grassmann_GSMOTE,0.7254841886420834,0.02123564685747858,0.7417996110170023,0.020182149376929328
PD-252,2,1.0,Adaptive_Subspace_Fusion,0.6636429952219426,0.02147758468578437,0.6651381980358316,0.020703382349939566
PD-252,3,0.0,Adaptive_Subspace_Fusion,0.7799941642046905,0.011105526460948355,0.7808132048132048,0.013897461147816733
PD-252,3,0.0,Fused_Grassmann_GSMOTE,0.7493079111500165,0.03610012756678181,0.7488670237018584,0.036003148416748745
PD-252,3,0.5,Adaptive_Subspace_Fusion,0.7902469270890323,0.009058918483217998,0.7920492661911716,0.01618038980192713
PD-252,3,0.5,Fused_Grassmann_GSMOTE,0.7358910529963161,0.026714384388470253,0.749546637936798,0.028706467249675155
PD-252,3,1.0,Fused_Grassmann_GSMOTE,0.6746972681183208,0.030701963510639623,0.6913778850453587,0.03496866912153872
PD-252,3,1.0,Adaptive_Subspace_Fusion,0.6382417842944159,0.03219594825956807,0.6327216374791987,0.029911798767565004
PD-252,4,0.0,Adaptive_Subspace_Fusion,0.7723729802677172,0.01668236215285239,0.7737198281408808,0.01661159869485795
PD-252,4,0.0,Fused_Grassmann_GSMOTE,0.7125852573220994,0.04084462849951522,0.7016084656084656,0.035153190539418185
PD-252,4,0.5,Adaptive_Subspace_Fusion,0.7751468067257541,0.013279426728253666,0.777761095935009,0.01318447509893875
PD-252,4,0.5,Fused_Grassmann_GSMOTE,0.7148493635335741,0.042900295175231945,0.7101188625805789,0.03800597316199741
PD-252,4,1.0,Fused_Grassmann_GSMOTE,0.7237781303570777,0.05220111521721526,0.7324486433107517,0.05352245321101788
