cohort,normalization,gate,partition_seed,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,standard,auto,11,Euclidean_RBF_GSMOTE,0.825,0.023385358667337132,0.819359560288353,0.025887884915796282
UCI-489,standard,auto,11,PLS_DA,0.8,0.023385358667337132,0.7977217553688142,0.023882344107135835
UCI-489,standard,auto,11,Balanced_RandomForest,0.7875,0.015309310892394864,0.7838264968605525,0.014675357809999174
UCI-489,standard,auto,11,Balanced_LogReg,0.775,0.015309310892394864,0.7668198777486703,0.017399455505705413
UCI-489,standard,auto,11,SMOTE_LogReg,0.775,0.015309310892394864,0.7668198777486703,0.017399455505705413
UCI-489,standard,auto,11,Balanced_LinearSVM,0.75,0.02795084971874737,0.7439511297096437,0.027884433433361975
UCI-489,rank,auto,12,Adaptive_Subspace_Fusion,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,rank,auto,12,Fused_Grassmann_GSMOTE,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,rank,auto,12,Euclidean_RBF_GSMOTE,0.8125,0.02795084971874737,0.8119561157796452,0.027730833465735353
UCI-489,rank,auto,12,Balanced_RandomForest,0.8,0.023385358667337132,0.7989122315592903,0.023778638359329446
UCI-489,rank,auto,12,PLS_DA,0.775,0.04238956239453292,0.7727217553688142,0.043495769947731695
UCI-489,rank,auto,12,Balanced_LogReg,0.775,0.050775240028974745,0.7709594499068183,0.05135395596325344
UCI-489,rank,auto,12,SMOTE_LogReg,0.775,0.050775240028974745,0.7709594499068183,0.05135395596325344
UCI-489,rank,auto,12,Balanced_LinearSVM,0.75,0.04419417382415922,0.7463851370507717,0.04471153670925816
UCI-489,standard,auto,12,Adaptive_Subspace_Fusion,0.8375,0.024999999999999998,0.8369561157796452,0.02489071468356791
UCI-489,standard,auto,12,Fused_Grassmann_GSMOTE,0.8375,0.024999999999999998,0.8369561157796452,0.02489071468356791
UCI-489,standard,auto,12,Euclidean_RBF_GSMOTE,0.8375,0.0318688719599549,0.8367600373482726,0.031773055175965646
UCI-489,standard,auto,12,Balanced_RandomForest,0.8,0.036443449342783124,0.7975756132412479,0.03821447339618678
UCI-489,standard,auto,12,Balanced_LogReg,0.7875,0.046770717334674264,0.783752650857914,0.04760509371792195
UCI-489,standard,auto,12,SMOTE_LogReg,0.7875,0.046770717334674264,0.783752650857914,0.04760509371792195
UCI-489,standard,auto,12,PLS_DA,0.775,0.04238956239453292,0.7712870978350854,0.04360511610210993
UCI-489,standard,auto,12,Balanced_LinearSVM,0.7375,0.036443449342783124,0.7317250894959874,0.03732790764922372
UCI-489,standard,auto,13,Balanced_LogReg,0.85,0.05796011559684814,0.8493090569561158,0.05807185095007976
UCI-489,standard,auto,13,SMOTE_LogReg,0.85,0.05796011559684814,0.8493090569561158,0.05807185095007976
UCI-489,standard,auto,13,Adaptive_Subspace_Fusion,0.85,0.050775240028974745,0.8477909328373725,0.05141193472769453
UCI-489,standard,auto,13,Fused_Grassmann_GSMOTE,0.85,0.050775240028974745,0.8477909328373725,0.05141193472769453
UCI-489,standard,auto,13,Euclidean_RBF_GSMOTE,0.85,0.050775240028974745,0.8477909328373725,0.05141193472769453
UCI-489,standard,auto,13,Balanced_RandomForest,0.7875,0.054486236794258416,0.7844290212711266,0.055699279633468296
UCI-489,standard,auto,13,Balanced_LinearSVM,0.775,0.046770717334674264,0.7738095238095238,0.04667128931861244
UCI-489,standard,auto,13,PLS_DA,0.775,0.050775240028974745,0.7728197945845006,0.05169131222620325
UCI-489,rank,auto,13,Euclidean_RBF_GSMOTE,0.875,0.04419417382415922,0.874407096171802,0.044230393580339006
UCI-489,rank,auto,13,Adaptive_Subspace_Fusion,0.8625,0.045927932677184584,0.8609375248074939,0.04633709808351314
UCI-489,rank,auto,13,Fused_Grassmann_GSMOTE,0.8625,0.045927932677184584,0.8609375248074939,0.04633709808351314
UCI-489,rank,auto,13,Balanced_LogReg,0.85,0.054486236794258416,0.8488141923436041,0.054976657329598506
UCI-489,rank,auto,13,SMOTE_LogReg,0.85,0.054486236794258416,0.8488141923436041,0.054976657329598506
UCI-489,rank,auto,13,PLS_DA,0.8375,0.05796011559684814,0.8350458347981569,0.05855597381696658
UCI-489,rank,auto,13,Balanced_RandomForest,0.8,0.05376453291901641,0.7967819624475971,0.05515754771682475
UCI-489,rank,auto,13,Balanced_LinearSVM,0.75,0.03952847075210474,0.7491176470588237,0.039761036493884946
UCI-489,rank,auto,14,Euclidean_RBF_GSMOTE,0.85,0.0318688719599549,0.8485845836310233,0.03226354419995132
UCI-489,rank,auto,14,Adaptive_Subspace_Fusion,0.8375,0.024999999999999998,0.8369561157796452,0.02489071468356791
UCI-489,rank,auto,14,Fused_Grassmann_GSMOTE,0.8375,0.024999999999999998,0.8369561157796452,0.02489071468356791
UCI-489,rank,auto,14,PLS_DA,0.8375,0.046770717334674264,0.8368627450980393,0.0469541319124573
UCI-489,rank,auto,14,Balanced_RandomForest,0.8125,0.03952847075210474,0.8118580765639589,0.03956749608809285
UCI-489,rank,auto,14,Balanced_LogReg,0.8,0.049999999999999996,0.7983193277310925,0.05098223901601298
UCI-489,rank,auto,14,SMOTE_LogReg,0.8,0.049999999999999996,0.7983193277310925,0.05098223901601298
UCI-489,rank,auto,14,Balanced_LinearSVM,0.8,0.053764532919016415,0.798216619981326,0.05456028595962151
UCI-489,standard,auto,14,Euclidean_RBF_GSMOTE,0.8625,0.03061862178478972,0.8620541549953314,0.030550478771707898
UCI-489,standard,auto,14,Adaptive_Subspace_Fusion,0.85,0.024999999999999994,0.8496031746031747,0.024903757807512666
UCI-489,standard,auto,14,Fused_Grassmann_GSMOTE,0.85,0.024999999999999994,0.8496031746031747,0.024903757807512666
UCI-489,standard,auto,14,Balanced_RandomForest,0.8375,0.04238956239453292,0.8370588235294119,0.04259930840411655
