cohort,partition_seed,members,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,15,"4,8,16,32",Adaptive_Subspace_Fusion,0.875,0.03423265984407288,0.8741083099906628,0.034914309826022644
UCI-489,15,"4,8,16,32",Subspace_q32,0.875,0.03423265984407288,0.8741083099906628,0.034914309826022644
UCI-489,15,"4,8,16,32",Euclidean_RBF_GSMOTE,0.8625,0.036443449342783124,0.8614612511671336,0.037058312151433646
UCI-489,15,"4,8,16,32",Balanced_LogReg,0.8625,0.045927932677184584,0.860765639589169,0.04683991590308075
UCI-489,15,"4,8,16,32",SMOTE_LogReg,0.8625,0.045927932677184584,0.860765639589169,0.04683991590308075
UCI-489,15,"4,8,16,32",Subspace_q8,0.85,0.0318688719599549,0.8486134453781512,0.032426741439545194
UCI-489,15,"4,8,16,32",Subspace_q16,0.85,0.04238956239453292,0.8472768270601087,0.04449305194657732
UCI-489,15,"4,8,16,32",Subspace_q4,0.85,0.05796011559684814,0.8468800016632834,0.059889776781658785
UCI-489,15,"4,8,16,32",Balanced_LinearSVM,0.825,0.023385358667337132,0.8239122315592903,0.02300051949718866
UCI-489,15,"8,16,32",Adaptive_Subspace_Fusion,0.8625,0.03061862178478973,0.8612605042016807,0.03127982687427784
UCI-489,16,"4,8,16,32",Adaptive_Subspace_Fusion,0.875,0.04419417382415922,0.8748039215686274,0.04422905323796562
UCI-489,16,"4,8,16,32",Subspace_q8,0.875,0.04419417382415922,0.8748039215686274,0.04422905323796562
UCI-489,16,"4,8,16,32",Fused_Grassmann_GSMOTE,0.875,0.04419417382415922,0.8744070961718021,0.044230393580339006
UCI-489,16,"4,8,16,32",Subspace_q32,0.8625,0.04145780987944249,0.8623529411764705,0.041502386640840466
UCI-489,16,"4,8,16,32",Subspace_q16,0.8625,0.036443449342783124,0.8622549019607844,0.03644369660057344
UCI-489,16,"4,8,16,32",Euclidean_RBF_GSMOTE,0.8625,0.036443449342783124,0.8622549019607844,0.03644369660057344
UCI-489,16,"4,8,16,32",Subspace_q4,0.8375,0.024999999999999998,0.8373529411764705,0.025037169600250254
UCI-489,16,"4,8,16,32",Balanced_LogReg,0.8375,0.0318688719599549,0.8367600373482726,0.031773055175965646
UCI-489,16,"4,8,16,32",SMOTE_LogReg,0.8375,0.0318688719599549,0.8367600373482726,0.031773055175965646
UCI-489,16,"4,8,16,32",Balanced_LinearSVM,0.8,0.03061862178478973,0.7989169000933707,0.03055663939233545
UCI-489,16,"8,16,32",Adaptive_Subspace_Fusion,0.875,0.04419417382415922,0.8748039215686274,0.04422905323796562
UCI-489,17,"4,8,16,32",Fused_Grassmann_GSMOTE,0.875,0.03423265984407288,0.8743090569561158,0.034368557281860355
UCI-489,17,"4,8,16,32",Euclidean_RBF_GSMOTE,0.8375,0.046770717334674264,0.8365592903828197,0.047166233777143754
UCI-489,17,"4,8,16,32",Subspace_q4,0.8375,0.0318688719599549,0.8363632119514472,0.03243599947628686
UCI-489,17,"4,8,16,32",Balanced_LogReg,0.8375,0.05796011559684814,0.8342329428397539,0.059740403608460224
UCI-489,17,"4,8,16,32",SMOTE_LogReg,0.8375,0.05796011559684814,0.8342329428397539,0.059740403608460224
UCI-489,17,"4,8,16,32",Subspace_q16,0.825,0.053764532919016415,0.8246078431372549,0.05393012409845627
UCI-489,17,"4,8,16,32",Balanced_LinearSVM,0.825,0.036443449342783124,0.8228197945845006,0.0371012559608181
UCI-489,17,"4,8,16,32",Subspace_q32,0.8125,0.05590169943749474,0.8122549019607843,0.056039081902720424
UCI-489,17,"4,8,16,32",Adaptive_Subspace_Fusion,0.8125,0.04419417382415922,0.8120588235294118,0.04433324227514475
UCI-489,17,"4,8,16,32",Subspace_q8,0.8125,0.059292706128157104,0.8118627450980392,0.0595511372430744
UCI-489,17,"8,16,32",Adaptive_Subspace_Fusion,0.825,0.053764532919016415,0.8246078431372549,0.05393012409845627
UCI-489,18,"4,8,16,32",Fused_Grassmann_GSMOTE,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,18,"4,8,16,32",Euclidean_RBF_GSMOTE,0.85,0.0318688719599549,0.8490102707749767,0.03172532004103372
UCI-489,18,"4,8,16,32",Subspace_q8,0.85,0.01530931089239486,0.8489122315592905,0.015169739702757784
