cohort,partition_seed,variant,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
PD-252,8,with_gender,Adaptive_Subspace_Fusion,0.7745769048400628,0.028374535189998246,0.7793446935483548,0.03453053793364473
PD-252,8,with_gender,Balanced_LinearSVM,0.6937520516467885,0.018292050157197447,0.7025097984127873,0.02413967892449902
PD-252,8,with_gender,Balanced_LogReg,0.721960827223985,0.019184398053725252,0.7250758177893711,0.02314930615170312
PD-252,8,with_gender,Balanced_RandomForest,0.6625506072874494,0.024538220733094192,0.6838427745845435,0.03113215844173988
PD-252,8,with_gender,Euclidean_RBF_GSMOTE,0.7538096801254695,0.014169583794158926,0.7449935198913025,0.011259634431136666
PD-252,8,with_gender,Fused_Grassmann_GSMOTE,0.7460462486778277,0.020106101639902382,0.7375896917303704,0.014301168142325418
PD-252,8,with_gender,PLS_DA,0.7535844549002444,0.0192323020084938,0.7504801189011715,0.018508959667449323
PD-252,8,with_gender,SMOTE_LogReg,0.7065762118393697,0.022732570003210117,0.7121414325253419,0.027427229232788414
PD-252,8,without_gender,Adaptive_Subspace_Fusion,0.7719453258926944,0.028665962139948886,0.7755729651427105,0.035420936792948124
PD-252,8,without_gender,Balanced_LinearSVM,0.6964547543494912,0.016719701705654993,0.7059162524627577,0.021922894043291723
PD-252,8,without_gender,Balanced_LogReg,0.721960827223985,0.019184398053725252,0.7250758177893711,0.02314930615170312
PD-252,8,without_gender,Balanced_RandomForest,0.6362010796221322,0.022650842961284393,0.6525855155833821,0.0299663823874496
PD-252,8,without_gender,Euclidean_RBF_GSMOTE,0.7558002334318124,0.02806980132691343,0.7473581619919913,0.02424230928890779
PD-252,8,without_gender,Fused_Grassmann_GSMOTE,0.7381287157602947,0.023254373792797968,0.7360823819569966,0.019057620696631392
PD-252,8,without_gender,PLS_DA,0.7535844549002444,0.0192323020084938,0.7504801189011715,0.018508959667449323
PD-252,8,without_gender,SMOTE_LogReg,0.7142685195316774,0.019114070332997796,0.7190812295704021,0.024579800180077133
PD-252,9,with_gender,Adaptive_Subspace_Fusion,0.7828281723018565,0.02825535232832068,0.7879890729313944,0.024305670014204434
PD-252,9,with_gender,Balanced_LinearSVM,0.7563363971258708,0.032443898328771176,0.7656734208539457,0.033777024462268296
PD-252,9,with_gender,Balanced_LogReg,0.7587655469234417,0.027539723729580894,0.7642553737264874,0.027484468727605463
PD-252,9,with_gender,Balanced_RandomForest,0.6567777291461502,0.03847022295875319,0.679636782423813,0.04841540145537116
PD-252,9,with_gender,Euclidean_RBF_GSMOTE,0.7518793084582558,0.020745499896787038,0.7460276314486841,0.014632034479097018
PD-252,9,with_gender,Fused_Grassmann_GSMOTE,0.7651794507057665,0.023856319875263328,0.766394671482246,0.020222060073415093
PD-252,9,with_gender,PLS_DA,0.7829448882080461,0.026458453275000043,0.7653662568045128,0.020234263246890753
